Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2013-14,25,NYK,NBA,C,46,330,19.1,.620,.000,.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,,0.6,0.6,1.2,.178,,-0.1,1.6,1.5,0.3
2014-15,26,NYK,NBA,C,61,976,18.1,.513,.000,.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,,0.8,1.4,2.2,.107,,-0.8,1.1,0.3,0.6
2015-16,27,LAC,NBA,C,60,800,21.3,.626,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,,1.4,2.0,3.5,.209,,-0.9,3.4,2.4,0.9
2016-17,28,MIN,NBA,C,62,531,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,.116,,-2.3,1.5,-0.8,0.2
2017-18,29,MIN,NBA,C,21,49,6.0,.340,.000,.400,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,,-0.1,0.1,0.0,-0.013,,-6.8,-0.7,-7.5,-0.1
2006-07,21,POR,NBA,C,63,1392,17.1,.533,.004,.240,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,,2.5,1.0,3.4,.118,,-0.4,-1.0,-1.4,0.2
2007-08,22,POR,NBA,PF,76,2649,18.5,.523,.006,.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,,3.5,2.8,6.2,.113,,0.6,-0.4,0.2,1.5
2008-09,23,POR,NBA,PF,81,3004,19.1,.529,.023,.269,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,,6.1,3.3,9.5,.151,,1.7,-0.4,1.3,2.5
2009-10,24,POR,NBA,PF,78,2922,18.2,.535,.014,.260,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,.145,,1.4,-0.2,1.2,2.3
2010-11,25,POR,NBA,PF,81,3211,21.5,.549,.016,.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,,7.6,3.5,11.1,.166,,2.6,-0.5,2.1,3.4
2011-12,26,POR,NBA,PF,55,1994,22.7,.560,.012,.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27.0,,5.4,1.6,7.0,.169,,3.4,-0.4,3.0,2.5
2012-13,27,POR,NBA,PF,74,2790,20.4,.530,.011,.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,,4.8,2.3,7.2,.124,,1.7,-0.4,1.3,2.3
2013-14,28,POR,NBA,PF,69,2498,21.8,.507,.011,.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,,4.0,3.5,7.5,.144,,2.3,0.1,2.3,2.7
2014-15,29,POR,NBA,PF,71,2512,22.8,.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,,4.9,3.7,8.6,.165,,3.2,-0.3,2.9,3.1
2015-16,30,SAS,NBA,PF,74,2261,22.4,.565,.015,.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,,5.6,4.5,10.1,.215,,2.0,0.3,2.3,2.5
2016-17,31,SAS,NBA,PF,72,2335,18.6,.532,.053,.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,,3.5,3.7,7.2,.149,,0.7,0.1,0.8,1.7
2017-18,32,SAS,NBA,C,75,2509,25.0,.570,.068,.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,,7.4,3.5,10.9,.209,,4.3,-0.4,3.9,3.7
2018-19,33,SAS,NBA,C,81,2687,22.9,.576,.032,.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,,6.4,2.9,9.3,.167,,2.4,-0.6,1.8,2.6
2019-20,34,SAS,NBA,C,53,1754,19.7,.571,.198,.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,,3.0,1.4,4.5,.122,,1.8,-0.5,1.4,1.5
2020-21,35,TOT,NBA,C,26,674,15.7,.556,.270,.159,3.0,15.8,9.4,11.0,0.8,3.7,7.9,22.2,,0.5,0.6,1.1,.080,,-0.2,-0.2,-0.3,0.3
2020-21,35,SAS,NBA,C,21,544,15.1,.545,.302,.149,3.3,15.4,9.2,10.2,0.7,2.8,7.0,22.7,,0.3,0.5,0.8,.067,,-0.2,-0.7,-0.9,0.2
2020-21,35,BRK,NBA,C,5,130,18.2,.611,.104,.208,1.8,17.8,10.2,14.3,1.1,7.4,11.8,19.9,,0.2,0.2,0.4,.135,,0.1,2.1,2.2,0.1
2021-22,36,BRK,NBA,C,47,1050,19.6,.604,.100,.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,,2.1,1.0,3.1,.141,,1.3,-0.6,0.7,0.7
2015-16,20,POR,NBA,PF,8,36,11.6,.500,.000,.000,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,,0.0,0.0,0.0,.052,,-0.5,0.5,0.0,0.0
1995-96,22,SAS,NBA,PG,60,560,8.7,.506,.426,.161,1.9,6.3,4.2,31.6,2.5,0.3,29.1,18.8,,-0.5,0.7,0.2,.021,,-4.2,-0.1,-4.3,-0.3
1996-97,23,SAS,NBA,PG,80,1454,14.3,.528,.514,.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,,0.5,0.6,1.1,.035,,0.3,-0.8,-0.6,0.5
1997-98,24,TOT,NBA,PG,60,1298,15.2,.548,.440,.255,1.5,11.7,6.6,28.7,2.9,0.6,20.1,19.8,,1.0,1.2,2.2,.081,,0.4,0.1,0.5,0.8
1997-98,24,SAS,NBA,PG,37,501,11.1,.512,.441,.255,1.7,8.7,5.4,23.2,2.7,0.7,22.6,19.5,,-0.2,0.8,0.7,.065,,-2.3,1.1,-1.2,0.1
1997-98,24,DEN,NBA,PG,23,797,17.8,.569,.439,.255,1.4,13.5,7.3,32.1,3.0,0.6,18.6,19.9,,1.2,0.3,1.5,.091,,2.1,-0.6,1.5,0.7
1998-99,25,DEN,NBA,PG,36,778,11.0,.467,.404,.169,1.0,10.3,5.5,26.6,2.4,0.5,19.8,20.3,,-0.2,0.0,-0.3,-0.016,,-2.1,-1.3,-3.4,-0.3
1999-00,26,DEN,NBA,PG,29,329,8.8,.381,.357,.224,2.6,11.3,6.9,25.7,3.7,0.4,20.6,18.0,,-0.5,0.4,-0.1,-0.012,,-4.1,1.8,-2.4,0.0
2000-01,27,ORL,NBA,PG,26,227,6.3,.407,.286,.321,0.0,12.5,6.1,23.5,3.6,0.0,28.1,17.3,,-0.5,0.3,-0.1,-0.031,,-7.2,1.2,-6.0,-0.2
2004-05,31,CHA,NBA,SG,16,201,8.8,.451,.388,.245,4.3,12.6,8.2,27.7,2.3,0.4,25.9,16.2,,-0.2,0.2,0.0,.002,,-3.6,0.2,-3.4,-0.1
2000-01,23,TOT,NBA,PG,65,1382,11.6,.484,.080,.262,3.5,8.4,5.9,8.0,1.7,0.3,10.5,23.2,,0.3,0.5,0.8,.027,,-2.4,-1.9,-4.3,-0.8
2000-01,23,DAL,NBA,PG,38,472,6.8,.404,.056,.253,4.9,9.9,7.5,6.9,1.7,0.5,9.6,21.1,,-0.5,0.4,-0.1,-0.013,,-5.5,-0.8,-6.2,-0.5
2000-01,23,WAS,NBA,PG,27,910,14.2,.519,.091,.266,2.8,7.6,5.1,8.6,1.7,0.2,10.9,24.3,,0.9,0.1,0.9,.048,,-0.8,-2.5,-3.3,-0.3
2001-02,24,WAS,NBA,SG,56,1325,13.6,.521,.038,.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,,1.6,0.6,2.2,.080,,-0.9,-1.3,-2.2,-0.1
2002-03,25,NOH,NBA,PG,66,1360,9.3,.459,.113,.289,3.3,6.8,5.0,9.8,1.2,0.3,10.7,21.3,,0.1,1.0,1.1,.040,,-3.3,-1.2,-4.5,-0.9
2008-09,22,MIL,NBA,SF,59,716,10.1,.494,.188,.339,6.9,12.3,9.5,9.5,1.1,3.4,15.6,20.9,,-0.3,0.7,0.4,.030,,-3.4,-0.1,-3.5,-0.3
2009-10,23,CHI,NBA,SF,8,29,2.8,.273,.167,.500,7.8,11.3,9.6,9.3,1.8,2.6,0.0,11.3,,0.0,0.0,0.0,.030,,-9.1,0.9,-8.3,0.0
2019-20,23,MIA,NBA,C,2,13,4.7,.500,.000,.000,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,,0.0,0.0,0.0,-0.003,,-6.4,-3.7,-10.1,0.0
2020-21,22,PHO,NBA,SG,15,47,4.2,.349,.750,.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,,-0.1,0.0,0.0,-0.048,,-4.8,-1.7,-6.5,-0.1
1991-92,22,GSW,NBA,C,80,1350,13.9,.561,.002,.325,8.7,18.3,13.6,3.1,1.5,2.7,14.8,18.3,,1.1,1.4,2.5,.090,,-1.6,-0.4,-2.0,0.0
1992-93,23,GSW,NBA,C,72,1753,14.3,.548,.033,.243,8.4,18.4,13.4,7.8,0.9,1.9,14.0,20.0,,1.6,1.4,3.0,.083,,-1.0,-0.6,-1.6,0.2
1993-94,24,GSW,NBA,C,69,1318,14.0,.539,.026,.257,9.5,15.7,12.6,7.3,1.0,1.5,13.3,20.2,,1.1,1.1,2.3,.083,,-1.1,-0.9,-2.1,0.0
1994-95,25,GSW,NBA,C,50,1237,12.8,.530,.056,.134,7.7,18.4,13.0,7.8,1.1,1.6,13.8,18.8,,0.3,0.8,1.1,.044,,-2.2,-0.7,-2.9,-0.3
2001-02,32,DET,NBA,C,15,97,9.2,.367,.039,.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,,-0.3,0.1,-0.1,-0.073,,-5.3,-3.5,-8.8,-0.2
2019-20,21,NOP,NBA,SG,47,591,8.9,.473,.500,.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,,-0.7,0.4,-0.2,-0.020,,-3.2,-1.4,-4.6,-0.4
2020-21,22,NOP,NBA,SG,46,1007,12.5,.522,.478,.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,,-0.3,1.0,0.7,.035,,-1.4,0.1,-1.3,0.2
2021-22,23,TOT,NBA,SG,65,1466,10.5,.475,.497,.160,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,.003,,-1.8,-1.1,-2.9,-0.3
2021-22,23,NOP,NBA,SG,50,1317,10.5,.474,.483,.153,3.0,11.0,6.9,16.1,1.5,1.4,11.2,24.8,,-1.1,0.9,-0.1,-0.005,,-1.7,-1.3,-3.0,-0.3
2021-22,23,UTA,NBA,SG,15,149,10.2,.497,.688,.250,0.8,15.6,8.5,15.5,1.7,2.4,13.1,17.9,,0.0,0.2,0.2,.070,,-2.9,1.2,-1.7,0.0
2022-23,24,UTA,NBA,SG,16,187,11.9,.554,.525,.148,1.8,10.4,6.2,18.6,2.8,1.7,17.7,17.7,,0.1,0.2,0.3,.069,,-2.1,0.5,-1.6,0.0
2018-19,21,CHI,NBA,SG,10,120,8.1,.418,.308,.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,,-0.1,0.0,-0.1,-0.042,,-3.8,-3.5,-7.3,-0.2
2018-19,23,UTA,NBA,SG,38,416,7.5,.516,.556,.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,,-0.4,0.4,0.0,.002,,-4.2,-2.1,-6.3,-0.5
2019-20,24,MEM,NBA,SG,38,718,12.0,.609,.562,.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,,0.8,0.4,1.2,.082,,-0.1,-1.2,-1.3,0.1
2020-21,25,MEM,NBA,SG,50,1259,12.8,.586,.662,.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,,1.5,1.2,2.7,.101,,-0.2,0.1,-0.2,0.6
2021-22,26,MIL,NBA,SG,66,1805,12.7,.609,.684,.130,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,,2.8,1.4,4.2,.110,,0.6,-0.2,0.4,1.1
2022-23,27,MIL,NBA,SG,21,569,14.3,.650,.623,.305,3.6,10.3,7.0,13.3,1.4,0.7,12.5,14.8,,1.2,0.7,1.9,.158,,0.8,0.7,1.5,0.5
2017-18,19,BRK,NBA,C,72,1441,17.5,.636,.038,.370,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,,2.7,1.5,4.2,.141,,-0.9,0.1,-0.8,0.5
2018-19,20,BRK,NBA,C,80,2096,18.5,.632,.079,.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,,4.4,3.3,7.6,.175,,0.2,1.4,1.6,1.9
2019-20,21,BRK,NBA,C,70,1852,20.7,.664,.013,.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,.212,,1.4,1.0,2.3,2.0
2020-21,22,TOT,NBA,C,63,1864,20.1,.661,.039,.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,,4.3,2.1,6.4,.166,,1.3,-0.2,1.1,1.4
2020-21,22,BRK,NBA,C,12,320,21.5,.730,.000,.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,,1.0,0.5,1.4,.216,,1.7,0.9,2.6,0.4
2020-21,22,CLE,NBA,C,51,1544,19.8,.649,.046,.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,,3.4,1.6,5.0,.155,,1.2,-0.4,0.8,1.1
2021-22,23,CLE,NBA,C,56,1809,23.0,.698,.018,.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3.0,8.5,.225,,2.7,1.2,3.9,2.7
2022-23,24,CLE,NBA,C,18,582,18.9,.637,.011,.322,11.1,27.7,19.6,6.1,1.0,3.5,13.5,17.6,,1.1,1.2,2.3,.188,,0.7,1.3,2.0,0.6
2017-18,25,BOS,NBA,PG,18,107,2.6,.366,.500,.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,,-0.2,0.1,-0.1,-0.038,,-8.3,0.6,-7.7,-0.2
2018-19,26,NYK,NBA,PG,19,416,16.2,.574,.255,.383,2.0,11.1,6.4,28.7,1.9,0.8,13.6,19.6,,0.7,0.2,1.0,.111,,0.2,0.3,0.5,0.3
2019-20,27,NYK,NBA,PG,10,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,-0.3,-0.7,-0.9,0.0
2011-12,22,PHI,NBA,PF,41,624,12.7,.488,.000,.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,,0.4,1.2,1.6,.124,,-2.8,1.0,-1.7,0.0
2012-13,23,PHI,NBA,C,79,1669,11.5,.474,.002,.132,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,,0.9,1.6,2.5,.072,,-3.0,-0.3,-3.3,-0.6
2013-14,24,TOT,NBA,PF,65,1072,12.5,.470,.043,.167,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,,0.6,0.9,1.5,.066,,-2.6,-0.8,-3.5,-0.4
2013-14,24,PHI,NBA,PF,51,960,11.9,.464,.049,.150,11.5,20.0,15.6,10.2,1.1,2.2,12.4,14.3,,0.4,0.7,1.1,.053,,-2.9,-1.0,-3.8,-0.4
2013-14,24,IND,NBA,PF,14,112,17.5,.521,.000,.294,13.7,20.1,17.1,9.0,0.9,4.1,9.4,17.3,,0.2,0.2,0.4,.180,,-0.8,0.2,-0.5,0.0
2014-15,25,IND,NBA,C,63,1070,14.9,.493,.000,.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,,1.3,1.6,2.8,.127,,-0.5,0.5,0.0,0.6
2015-16,26,IND,NBA,PF,79,1599,12.4,.532,.000,.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,,1.6,2.1,3.7,.110,,-1.7,0.1,-1.6,0.2
2016-17,27,IND,NBA,PF,61,871,11.6,.485,.006,.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,,0.9,0.8,1.7,.093,,-1.5,-0.2,-1.7,0.1
2001-02,23,MIA,NBA,PF,12,161,15.0,.469,.020,.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,,0.2,0.3,0.5,.141,,-1.4,0.3,-1.1,0.0
2002-03,24,MIA,NBA,PF,80,2318,9.9,.455,.005,.153,6.5,14.9,10.6,4.4,0.9,2.6,13.2,19.7,,-1.7,2.6,0.9,.018,,-3.9,-0.4,-4.4,-1.4
2003-04,25,MIA,NBA,PF,45,616,10.5,.449,.000,.167,7.9,14.7,11.3,4.7,1.1,3.6,11.3,18.3,,-0.1,0.8,0.7,.051,,-3.7,-0.1,-3.8,-0.3
2004-05,26,TOT,NBA,PF,36,519,14.2,.512,.000,.158,9.0,13.3,11.0,5.7,0.9,3.2,8.7,18.1,,0.6,0.5,1.1,.100,,-1.0,-0.7,-1.8,0.0
2004-05,26,MIA,NBA,PF,14,248,13.6,.505,.000,.184,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,,0.3,0.3,0.6,.113,,-1.3,-0.3,-1.6,0.0
2004-05,26,CHA,NBA,PF,22,271,14.8,.518,.000,.139,6.4,13.8,9.9,4.6,1.0,3.1,6.1,18.7,,0.3,0.2,0.5,.088,,-0.8,-1.2,-2.0,0.0
2005-06,27,CHI,NBA,PF,54,701,11.5,.504,.004,.154,7.2,15.7,11.5,4.9,1.0,1.8,11.4,19.2,,0.0,1.0,1.0,.068,,-3.0,0.3,-2.7,-0.1
2006-07,28,CHI,NBA,PF,60,638,10.4,.443,.004,.132,7.6,13.7,10.6,4.2,1.4,2.0,7.1,20.5,,-0.2,1.1,1.0,.073,,-3.9,0.5,-3.4,-0.2
2007-08,29,TOT,NBA,PF,73,1096,9.8,.500,.006,.076,7.0,13.6,10.4,6.8,0.9,2.2,11.7,16.1,,0.1,0.9,1.0,.045,,-3.4,0.0,-3.5,-0.4
2007-08,29,NJN,NBA,PF,48,763,10.1,.489,.008,.050,6.4,13.1,9.7,6.8,1.0,2.1,10.7,17.9,,-0.2,0.5,0.4,.023,,-3.3,-0.3,-3.6,-0.3
2007-08,29,DAL,NBA,PF,25,333,9.1,.540,.000,.182,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,,0.3,0.4,0.7,.096,,-3.8,0.5,-3.3,-0.1
2008-09,30,MIL,NBA,PF,49,579,7.3,.435,.006,.124,6.8,14.5,10.5,9.5,0.6,1.7,10.0,15.4,,-0.2,0.5,0.3,.024,,-4.2,-0.2,-4.5,-0.4
2009-10,31,DEN,NBA,PF,51,456,5.9,.431,.052,.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14.0,,-0.3,0.3,0.1,.009,,-4.7,-1.0,-5.7,-0.4
2010-11,32,ORL,NBA,PF,18,178,3.3,.361,.000,.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,,-0.1,0.2,0.2,.046,,-5.8,0.5,-5.4,-0.2
1996-97,21,MIL,NBA,SG,82,2532,14.6,.541,.328,.274,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,,3.3,1.5,4.9,.092,,0.8,-0.9,-0.1,1.2
1997-98,22,MIL,NBA,SG,82,3287,16.2,.539,.280,.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,,4.7,2.3,7.0,.102,,1.9,-0.9,1.0,2.5
1998-99,23,MIL,NBA,SG,50,1719,18.9,.564,.309,.290,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,,4.2,1.1,5.2,.146,,3.5,-1.0,2.4,1.9
1999-00,24,MIL,NBA,SG,82,3070,20.6,.570,.288,.282,3.2,10.5,6.8,17.0,1.9,0.5,10.3,25.6,,9.0,1.0,10.1,.157,,4.7,-1.1,3.6,4.3
2000-01,25,MIL,NBA,SG,82,3129,22.9,.610,.357,.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,,11.5,2.2,13.7,.211,,5.7,-0.3,5.5,5.9
2001-02,26,MIL,NBA,SG,69,2525,21.6,.598,.460,.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,,7.6,1.3,8.9,.169,,6.0,-1.1,4.9,4.4
2002-03,27,TOT,NBA,SG,76,2880,21.3,.565,.391,.253,3.8,11.8,7.8,21.6,1.9,0.4,11.6,27.8,,7.6,1.5,9.1,.152,,4.7,-1.0,3.6,4.1
2002-03,27,MIL,NBA,SG,47,1683,19.9,.564,.387,.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,,3.8,0.5,4.3,.123,,3.4,-1.9,1.6,1.5
2002-03,27,SEA,NBA,SG,29,1197,23.3,.567,.396,.268,4.7,11.4,8.0,27.3,2.1,0.2,11.5,27.7,,3.8,1.0,4.8,.193,,6.4,0.2,6.6,2.6
2003-04,28,SEA,NBA,SG,56,2152,21.7,.566,.372,.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,,6.5,0.4,6.9,.153,,5.5,-1.5,4.0,3.2
2004-05,29,SEA,NBA,SG,78,3064,20.9,.555,.372,.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28.0,,9.7,1.0,10.7,.168,,5.3,-1.2,4.1,4.8
2005-06,30,SEA,NBA,SG,78,3022,22.2,.590,.435,.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,,9.8,-0.3,9.5,.150,,6.4,-2.0,4.4,4.9
2006-07,31,SEA,NBA,SG,55,2219,21.6,.564,.384,.268,3.1,10.4,6.7,19.0,1.9,0.4,10.7,29.5,,5.4,0.9,6.3,.136,,5.0,-1.3,3.7,3.2
2007-08,32,BOS,NBA,SG,73,2624,16.4,.584,.458,.240,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,,5.6,4.1,9.7,.177,,2.9,0.2,3.0,3.3
2008-09,33,BOS,NBA,SG,79,2876,17.3,.624,.467,.239,2.9,8.6,5.9,12.6,1.3,0.4,10.4,20.8,,7.4,3.7,11.1,.186,,3.7,0.3,4.0,4.3
2009-10,34,BOS,NBA,SG,80,2819,15.2,.601,.410,.260,2.0,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,.135,,1.5,-0.3,1.2,2.3
2010-11,35,BOS,NBA,SG,80,2890,16.4,.615,.387,.224,2.3,9.0,5.8,12.7,1.4,0.4,9.8,19.8,,5.8,4.2,10.0,.166,,2.3,0.6,2.9,3.6
2011-12,36,BOS,NBA,SG,46,1565,14.8,.607,.475,.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,,2.5,2.2,4.7,.145,,1.5,0.7,2.2,1.6
2012-13,37,MIA,NBA,SG,79,2035,14.7,.599,.510,.243,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,,3.4,1.9,5.4,.126,,1.1,-0.8,0.3,1.2
2013-14,38,MIA,NBA,SG,73,1936,12.8,.590,.569,.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,,2.5,1.5,4.1,.101,,0.5,-0.9,-0.4,0.8
2004-05,23,BOS,NBA,SG,77,1262,14.7,.542,.080,.393,8.0,12.3,10.2,8.2,3.1,1.4,14.5,18.9,,1.2,1.6,2.7,.103,,-0.7,0.8,0.1,0.7
2005-06,24,BOS,NBA,PG,51,978,12.9,.554,.124,.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,,0.6,1.0,1.7,.082,,-2.3,0.9,-1.4,0.1
2006-07,25,BOS,NBA,SG,33,805,17.0,.596,.127,.517,5.1,13.6,9.2,12.5,3.2,1.2,19.1,22.1,,0.8,1.1,1.9,.111,,-0.2,1.2,1.0,0.6
2007-08,26,BOS,NBA,SG,75,1373,10.7,.527,.147,.465,3.1,11.0,7.3,13.1,2.4,1.3,18.9,19.6,,-0.1,2.8,2.7,.093,,-3.4,1.7,-1.7,0.1
2008-09,27,BOS,NBA,SG,46,887,12.9,.541,.095,.384,3.2,10.7,7.1,12.0,3.2,2.1,18.8,21.5,,-0.2,1.8,1.6,.085,,-2.4,2.5,0.1,0.5
2009-10,28,BOS,NBA,SG,54,889,14.2,.540,.020,.470,7.4,12.5,10.0,13.0,3.5,1.7,17.8,19.6,,0.2,1.6,1.9,.100,,-1.8,2.2,0.4,0.5
2010-11,29,MEM,NBA,SG,72,1494,18.4,.562,.047,.370,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,,2.0,2.7,4.7,.152,,0.1,3.5,3.6,2.1
2011-12,30,MEM,NBA,SG,58,1525,15.7,.541,.058,.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,,1.7,2.5,4.2,.131,,-0.6,2.3,1.7,1.4
2012-13,31,MEM,NBA,SG,79,2109,13.2,.489,.038,.293,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,,1.0,4.1,5.1,.115,,-2.0,2.4,0.4,1.2
2013-14,32,MEM,NBA,SG,55,1278,15.6,.531,.114,.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,,0.5,2.1,2.7,.100,,-1.1,2.1,1.0,1.0
2014-15,33,MEM,NBA,SG,63,1648,14.6,.528,.064,.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,,0.9,3.2,4.1,.119,,-1.5,3.1,1.6,1.5
2015-16,34,MEM,NBA,SG,64,1620,12.9,.505,.090,.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,,0.5,1.9,2.4,.072,,-2.2,1.2,-1.0,0.4
2016-17,35,MEM,NBA,SG,71,1914,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,,0.2,2.9,3.1,.077,,-2.0,1.1,-1.0,0.5
2017-18,36,NOP,NBA,SF,22,273,8.7,.514,.132,.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,.017,,-5.2,-0.3,-5.5,-0.2
2007-08,26,CLE,NBA,C,3,10,-1.0,.307,.000,.500,0.0,11.8,5.7,0.0,0.0,0.0,0.0,22.1,,0.0,0.0,0.0,-0.125,,-8.1,-3.0,-11.1,0.0
2007-08,22,UTA,NBA,SG,9,39,2.0,.368,.267,.400,0.0,6.2,3.1,10.5,1.3,0.0,10.2,22.5,,-0.1,0.0,-0.1,-0.081,,-9.1,-2.9,-12.0,-0.1
2008-09,23,UTA,NBA,SG,25,255,7.3,.498,.210,.321,4.2,12.6,8.4,4.2,0.8,1.2,14.8,19.1,,-0.1,0.2,0.1,.010,,-4.5,-1.8,-6.3,-0.3
2011-12,26,WAS,NBA,SG,4,67,8.7,.382,.176,.176,1.7,11.9,6.7,4.4,5.4,0.0,5.2,12.9,,-0.1,0.1,0.0,.032,,-6.0,4.2,-1.8,0.0
1999-00,23,MIL,NBA,PG,27,361,4.3,.310,.147,.042,1.6,5.8,3.7,26.8,1.7,0.0,23.1,15.5,,-0.7,0.0,-0.7,-0.095,,-5.0,-2.3,-7.3,-0.5
2000-01,24,MIL,NBA,PG,37,288,12.1,.429,.357,.155,1.6,10.6,6.1,34.6,2.4,0.0,18.2,17.2,,0.1,0.2,0.3,.055,,-1.6,-0.5,-2.1,0.0
2001-02,25,MIL,NBA,PG,50,600,13.9,.434,.372,.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,,0.3,0.5,0.7,.059,,-0.3,-0.3,-0.7,0.2
2002-03,26,TOR,NBA,PG,47,980,14.4,.510,.388,.161,2.3,10.4,6.2,34.0,2.1,1.1,19.3,20.7,,0.7,0.5,1.2,.059,,0.2,-1.0,-0.8,0.3
2003-04,27,MIA,NBA,PG,82,2581,13.7,.509,.568,.175,1.2,9.1,5.1,24.9,2.4,0.6,13.5,17.3,,3.1,2.8,5.9,.110,,0.2,0.7,0.9,1.9
